X1,X2,Y,Y1
100,73,1,1
29,89,0,0
74,10,1,0
49,27,0,0
19,35,0,1
34,84,0,0
83,76,1,1
58,54,1,1
4,16,0,1
83,15,1,0
28,92,0,0
98,52,1,1
35,58,0,1
31,35,0,1
12,37,0,1
18,60,0,1
46,74,0,0
58,35,1,0
12,72,0,1
89,76,1,1
17,37,0,1
38,78,0,0
51,12,1,0
51,32,1,0
76,52,1,1
22,70,0,1
97,85,1,1
8,34,0,1
57,27,1,0
71,38,1,1
85,54,1,1
8,2,0,0
29,5,0,0
39,74,0,0
26,58,0,1
16,5,0,0
60,85,1,0
70,94,1,0
67,54,1,1
21,12,0,0
100,66,1,1
76,28,1,1
93,46,1,1
27,88,0,0
78,6,1,0
65,57,1,1
38,43,0,1
59,47,1,1
98,83,1,1
11,60,0,1
18,47,0,1
33,50,0,1
58,9,1,0
32,12,0,0
51,66,1,0
87,57,1,1
81,92,1,0
96,41,1,1
34,23,0,0
43,82,0,0
42,49,0,1
37,88,0,0
65,12,1,0
1,98,0,1
95,80,1,1
65,80,1,0
20,17,0,0
29,93,0,0
39,82,0,0
50,67,0,0
12,55,0,1
77,63,1,1
73,15,1,0
34,19,0,0
25,9,0,0
13,43,0,1
43,34,0,0
0,86,0,1
58,20,1,0
31,89,0,0
75,70,1,1
5,97,0,0
0,80,0,1
46,15,0,0
96,32,1,1
83,70,1,1
93,88,1,1
2,68,0,1
73,27,1,0
63,21,1,0
2,58,0,1
44,41,0,0
99,94,1,1
35,90,0,0
42,97,0,0
10,88,0,1
100,93,1,1
47,97,0,0
56,84,1,0
0,53,0,1
17,4,0,0
