X1,X2,Y
8,53,0
85,16,1
77,62,1
96,31,1
10,55,0
37,86,1
66,25,0
52,75,1
45,65,1
8,53,0
40,89,1
46,7,0
14,71,0
53,97,1
45,96,1
86,71,1
35,65,0
57,68,1
42,57,0
0,47,0
75,31,1
93,65,1
6,63,0
72,98,1
32,22,0
24,37,0
24,38,0
20,55,0
22,85,1
58,4,0
55,98,1
39,53,0
61,2,0
98,9,1
87,88,1
76,30,1
5,11,0
17,9,0
62,89,1
8,70,0
56,54,1
79,58,1
88,53,1
8,66,0
72,74,1
72,45,1
90,29,1
94,28,1
3,22,0
23,98,1
74,62,1
59,95,1
29,22,0
32,72,1
66,52,1
40,68,1
53,52,1
65,53,1
75,71,1
14,95,1
92,53,1
92,63,1
5,16,0
30,71,1
95,18,1
94,97,1
5,36,0
57,29,0
73,31,1
4,47,0
11,7,0
10,95,1
33,53,0
50,26,0
53,76,1
72,37,1
64,54,1
88,43,1
6,15,0
58,42,0
78,10,0
36,86,1
15,15,0
96,36,1
48,51,0
9,48,0
23,60,0
13,9,0
61,10,0
96,25,1
88,69,1
81,100,1
42,52,0
66,60,1
40,12,0
15,82,0
34,84,1
3,93,0
90,63,1
61,92,1
